Disease,Location,Doctor,,
Fungal infection,Hyderabad,https://www.drkeerthanakalva.com/,,
Fungal infection,Hyderabad,http://www.madhavisskinclinic.in/,,
Fungal infection,Hyderabad,https://ancetacare.com/,,
Fungal infection,Hyderabad,https://padmaskinclinic.com/,,
Fungal infection,Hyderabad,http://www.madhavisskinclinic.in/,,
Allergy,Hyderabad,https://bit.ly/AswiniAllergyCentre,,
Allergy,Hyderabad,https://allermy.com/,,
Allergy,Hyderabad,https://bit.ly/AswiniAllergyServices,,
Allergy,Hyderabad,http://www.swasaa.com/,,
Allergy,Hyderabad,https://www.askapollo.com/india/city/hyderabad,,
GERD,Hyderabad,https://www.google.com/aclk?sa=l&ai=DChcSEwiB8v3EyJb3AhXTmWYCHdU2AEgYABAAGgJzbQ&sig=AOD64_3qPSNHqoDooBO9nNgRlN5LI0ocMQ&q=&ctype=99&ved=2ahUKEwjRivfEyJb3AhVcR2wGHSm4DJsQhKwBegQIAhA0&adurl=,,
GERD,Hyderabad,https://www.gastrosurgeonindia.com/?utm_source=google&utm_medium=gmb&utm_campaign=local_seo,,
GERD,Hyderabad,http://www.drphanikrishnagastro.com/,,
GERD,Hyderabad,https://gastrosurgeonindia.com/,,
GERD,Hyderabad,http://www.drbharatkumarnara.com/,,
Chronic cholestasis,Hyderabad,http://www.padmavathigastro.com/,,
Chronic cholestasis,Hyderabad,http://www.drphanikrishnagastro.com/,,
Chronic cholestasis,Hyderabad,http://drnaveenpolavarapu.com/,,
Chronic cholestasis,Hyderabad,https://www.drgovindverma.com/,,
Chronic cholestasis,Hyderabad,https://drlataprasadgastro.com/,,
Drug Reaction,Hyderabad,https://allermy.com/,,
Drug Reaction,Hyderabad,http://www.swasaa.com/,,
Drug Reaction,Hyderabad,https://clinics.drbatras.com/homeopathy-clinic-dilsukhnagar-hyderabad-86709/Home?utm_source=locator&utm_medium=googleplaces,,
Drug Reaction,Hyderabad,https://www.apolloclinic.com/,,
Drug Reaction,Hyderabad,http://www.raghukanth.com/,,
Peptic ulcer diseae,Hyderabad,https://www.drgovindverma.com/,,
Peptic ulcer diseae,Hyderabad,https://octopusgastrosurg.com/doctor/surgical-gastroenterologist-in-hyderabad/,,
Peptic ulcer diseae,Hyderabad,http://drchetanmahajan.com/,,
Peptic ulcer diseae,Hyderabad,http://www.bestgastrointestinalsurgeon.com/,,
Peptic ulcer diseae,Hyderabad,https://dr-prashant-philip-das.business.site/?utm_source=gmb&utm_medium=referral,,
AIDS,Hyderabad,https://book-appointment.healthplix.com/dr-p--ajay-kumar-hiv-specialist-narayanguda-hyderabad,,
AIDS,Hyderabad,https://infectiousdiseasescenter.com/,,
AIDS,Hyderabad,http://www.aswiniclinic.com/,,
AIDS,Hyderabad,https://www.apollo247.com/doctors/dr-venkat-ramesh-af73d089-ff50-4134-b37c-05b61c4fb0e2,,
AIDS,Hyderabad,http://nireekshanaacet.org/,,
Diabetes,Hyderabad,https://www.google.com/aclk?sa=l&ai=DChcSEwiL-rPEypb3AhVENXIKHciJCmUYABAHGgJzZg&sig=AOD64_39WRZp3v7HsXJXBZSuaytkljpuVw&q=&ctype=99&ved=2ahUKEwjdtKzEypb3AhUfTGwGHUR_BHIQhKwBegQIAhAd&adurl=,,
Diabetes,Hyderabad,https://www.google.com/aclk?sa=l&ai=DChcSEwiL-rPEypb3AhVENXIKHciJCmUYABAAGgJzZg&sig=AOD64_2K3kTjshQVZyW7-7cOe5Z5OeZgRA&q=&ctype=99&ved=2ahUKEwjdtKzEypb3AhUfTGwGHUR_BHIQhKwBegQIAhA1&adurl=,,
Diabetes,Hyderabad,https://apollosugar.com/,,
Diabetes,Hyderabad,https://drmohans.com/diabetes-centre-locations/telangana/domalguda-hyderabad/,,
Diabetes,Hyderabad,http://www.ideaclinics.com/,,
Gastroenteritis,Hyderabad,http://www.ananyagastro.com/,,
Gastroenteritis,Hyderabad,https://www.gastrosurgeonindia.com/?utm_source=google&utm_medium=gmb&utm_campaign=local_seo,,
Gastroenteritis,Hyderabad,https://drlataprasadgastro.com/,,
Gastroenteritis,Hyderabad,http://drdattaram.com/,,
Gastroenteritis,Hyderabad,http://www.drphanikrishnagastro.com/,,
Bronchial Asthma,Hyderabad,http://www.swasaa.com/,,
Bronchial Asthma,Hyderabad,https://drlaxman-asthma-chest-clinic.business.site/?utm_source=gmb&utm_medium=referral,,
Bronchial Asthma,Hyderabad,https://www.askapollo.com/india/city/hyderabad,,
Bronchial Asthma,Hyderabad,https://bit.ly/AswiniAllergyServices,,
Bronchial Asthma,Hyderabad,https://allermy.com/,,
Hypertension,Hyderabad,http://www.vasavihospital.net/,,
Hypertension,Hyderabad,https://virinchihospitals.com/doctors/dr-praveen-kumar-etta/,,
Hypertension,Hyderabad,https://www.askapollo.com/india/city/hyderabad?utm_medium=gmb&utm_source=dr-mohammed-a-rafey&utm_campaign=Organic,,
Hypertension,Hyderabad,http://www.udaiomni.com/doctors/dr-girish-narayan/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,
Hypertension,Hyderabad,https://www.carehospitals.com/doctors/dr-santosh-hedau/,,
Migraine,Hyderabad,http://drvikramneurologist.com/,,
Migraine,Hyderabad,https://www.nikhilhospitals.com/neurologist-in-hyderabad/,,
Migraine,Hyderabad,http://drvikramneurologist.com/,,
Migraine,Hyderabad,https://www.nikhilhospitals.com/neurologist-in-hyderabad/,,
Migraine,Hyderabad,https://www.askapollo.com/doctors/neurologist/hyderabad/dr-yeshwanth-paidimarri,,
Cervical spondylosis,Hyderabad,https://advancerheumatology.com/,,
Cervical spondylosis,Hyderabad,https://epionepainandspine.com/,,
Cervical spondylosis,Hyderabad,http://drvenkatscarencure.github.io/,,
Cervical spondylosis,Hyderabad,https://www.swastikayurveda.com/,,
Cervical spondylosis,Hyderabad,https://panaceaspineorthosleep.com/,,
Paralysis,Hyderabad,https://www.google.com/aclk?sa=l&ai=DChcSEwiu0NmozJb3AhUVg0sFHR3FA98YABAAGgJzZg&sig=AOD64_3iAoXrKu9wEojU-0J4QyL0HZG-nw&q=&ctype=99&ved=2ahUKEwiCxdCozJb3AhURzzgGHdDZCzIQhKwBegQIAhAc&adurl=,,
Paralysis,Hyderabad,http://yeshwanthneurologist.com/,,
Paralysis,Hyderabad,https://chavan-paralysis-centre.business.site/?utm_source=gmb&utm_medium=referral,,
Paralysis,Hyderabad,https://chavanparalysiscentre.com/,,
Paralysis,Hyderabad,https://alra-health-care-center.business.site/?utm_source=gmb&utm_medium=referral,,
Paralysis,Hyderabad,https://chavansayurvedictreatmentforparalysis.business.site/?utm_source=gmb&utm_medium=referral,,
Jaundice,Hyderabad,https://jaundice-specialist-in-hyderabad-liver-spleen.business.site/?utm_source=gmb&utm_medium=referral,,
Jaundice,Hyderabad,https://www.drgovindverma.com/,,
Malaria,Hyderabad,https://eka.care/vikram-cheryala,,
Malaria,Hyderabad,https://apollosugar.com/campaign/diabetes-management/?utm_source=google&utm_medium=cpc&utm_campaign=Apollo_Sugar_Clinics_GMB,,
Malaria,Hyderabad,http://www.vedaclinics.com/,,
Malaria,Hyderabad,https://www.apollo247.com/doctors/dr-venkat-ramesh-af73d089-ff50-4134-b37c-05b61c4fb0e2,,
Malaria,Hyderabad,https://www.apolloclinic.com/clinic-locator/india/telangana/hyderabad/kondapur?utm_source=Google&utm_medium=GoogleMap&utm_campaign=GoogleMapKondapur,,
Chicken pox,Hyderabad,https://www.apolloclinic.com/,,
Chicken pox,Hyderabad,http://www.cosmosureclinic.com/,,
Chicken pox,Hyderabad,https://cleoskinclinic.in/,,
Chicken pox,Hyderabad,https://padmaskinclinic.com/,,
Chicken pox,Hyderabad,https://www.apollocradle.com/our-centres/apollo-cradle-centre-in-kondapur-hyderabad/?utm_source=Google&utm_medium=GoogleMap&utm_campaign=GoogleMapKondapur,,
Dengue,Hyderabad,https://sushruthclinic.business.site/,,
Dengue,Hyderabad,https://book-appointment.healthplix.com/dr-dr-sudhakar-barla-internal-medicine-manikonda--hyderabad,,
Dengue,Hyderabad,https://sialifehospital.com/doctors/best-general-physician-in-kondapur/,,
Dengue,Hyderabad,https://book-appointment.healthplix.com/dr-sk-abdullah-physician-and-diabetologist-himayath-nagar-hyderabad,,
Dengue,Hyderabad,https://www.pacehospital.com/dr-somnath-gupta,,
Typhoid,Hyderabad,https://www.practo.com/hyderabad/doctor-for-typhoid-fever-treatment,,
Typhoid,Hyderabad,https://www.justdial.com/Hyderabad/Paediatric-Typhoid-Fever-Treatment-Doctors/nct-11956387,,
Typhoid,Hyderabad,https://infectiousdiseasescenter.com/,,
Typhoid,Hyderabad,https://remedoapp.com/doctors/dr-rajeev-prasad-general-physician-hyderabad?utm_source=gmb&utm_medium=web&utm_campaign=tu,,
Typhoid,Hyderabad,https://www.practo.com/hyderabad/doctor/sandeep-cheruku-internal-medicine,,
hepatitis A,Hyderabad,https://www.justdial.com/Hyderabad/Dr-Nagarjuna-Yarlagadda-Endoviz-Hospital-Opposite-Lakshmi-Vilas-Bank-Remedy-Hospital-Lane-Kukatpally/040PXX40-XX40-160411084819-D7L2_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis A,Hyderabad,https://www.justdial.com/Hyderabad/Medicover-Hospitals-Madhapur/040PXX40-XX40-150922112530-D2V8_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis A,Hyderabad,https://www.justdial.com/Hyderabad/Dr-Madhu-Varanasi-Super-Speciality-Homeopathy-Clinic-Opposite-More-Super-Market-Lane-Kukatpally/040PXX40-XX40-110214173455-H9L8_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis A,Hyderabad,https://www.justdial.com/Hyderabad/Shine-Gastro-Clinic-Opposite-Prime-Hospital-KPHB-Colony-Kukatpally/040PXX40-XX40-130423143240-Q4W5_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis B,Hyderabad,https://www.justdial.com/Hyderabad/Dr-Nagarjuna-Yarlagadda-Endoviz-Hospital-Opposite-Lakshmi-Vilas-Bank-Remedy-Hospital-Lane-Kukatpally/040PXX40-XX40-160411084819-D7L2_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis B,Hyderabad,https://www.justdial.com/Hyderabad/Medicover-Hospitals-Madhapur/040PXX40-XX40-150922112530-D2V8_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis B,Hyderabad,https://www.justdial.com/Hyderabad/Dr-Madhu-Varanasi-Super-Speciality-Homeopathy-Clinic-Opposite-More-Super-Market-Lane-Kukatpally/040PXX40-XX40-110214173455-H9L8_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
hepatitis B,Hyderabad,https://www.justdial.com/Hyderabad/Shine-Gastro-Clinic-Opposite-Prime-Hospital-KPHB-Colony-Kukatpally/040PXX40-XX40-130423143240-Q4W5_BZDET?xid=SHlkZXJhYmFkIEhlcGF0aXRpcyBEb2N0b3Jz,,
Heart attack,Hyderabad,https://www.drraghu.com/,,
Heart attack,Hyderabad,https://www.askapollo.com/doctors/cardiologist/hyderabad/dr-manoj-kumar-agarwala?utm_medium=gmb&utm_source=dr-manoj-kumar-agarwala&utm_campaign=organic,,
Heart attack,Hyderabad,https://drsivakumarreddy.com/,,
Heart attack,Hyderabad,https://drsarathchandra.com/,,
Heart attack,Hyderabad,https://www.medicoverhospitals.in/dr-a-sharath-reddy/,,
Tuberculosis,Hyderabad,https://drpvijayendra-raju.business.site/,,
Tuberculosis,Hyderabad,https://infectiousdiseasescenter.com/,,
Tuberculosis,Hyderabad,https://sialifehospital.com/doctors/pulmonologist-in-kondapur/,,
Tuberculosis,Hyderabad,http://kkreddyhospital.com/,,
Common Cold,Hyderabad,https://drsampurnaent.com/,,
Common Cold,Hyderabad,https://www.askapollo.com/doctors/ent-specialist/hyderabad/dr-v-sathavahana-chowdary?utm_medium=gmb&utm_source=dr-v-sathavahana-chowdary&utm_campaign=organic,,
Common Cold,Hyderabad,https://drneetumodgil.com/,,
Common Cold,Hyderabad,https://sushruthclinic.business.site/,,
Pneumonia,Hyderabad,http://hyderabadchestclinic.blogspot.com/,,
Pneumonia,Hyderabad,https://paarthivlungcare.com/index.html,,
Pneumonia,Hyderabad,https://breathefreeclinics.com/doctors-profile/,,
Pneumonia,Hyderabad,http://sunillungcare.com/dr-s-sunil/,,
Dimorphic hemmorhoids,Hyderabad,https://laserpiles.com/dr-harika-tirungari/,,
Dimorphic hemmorhoids,Hyderabad,https://laserpiles.com/dr-venkat-vaijnath-cholleti/,,
Dimorphic hemmorhoids,Hyderabad,https://laserpiles.com/dr-mudumala-issac-abhilash-2/,,
Dimorphic hemmorhoids,Hyderabad,https://laserpiles.com/dr-sravanthi/,,
Varicose veins,Hyderabad,https://drsudhirsscancenterandvaricoseveinclinic.com/,,
Varicose veins,Hyderabad,http://vascularcarecenter.com/,,
Varicose veins,Hyderabad,https://varicose-veins-treatment-hyderabad.business.site/?utm_source=gmb&utm_medium=referral,,
Varicose veins,Hyderabad,https://klavo.in/doctors/interventional-radiologist-in-hyderabad/,,
Hypothyroidism,Hyderabad,http://www.hyderabadendocrinologist.com/,,
Hypothyroidism,Hyderabad,http://tanishthasclinic.com/?utm_source=gmb&utm_medium=referral,,
Hypothyroidism,Hyderabad,https://www.ideaclinics.com/dr-rakesh-sahay-2/,,
Hypothyroidism,Hyderabad,https://www.ideaclinics.com/dr-g-kalyan-chakravarthy/,,
Hyperthyroidism,Hyderabad,https://drsulemansdiabetesandthyroidclinic.business.site/?utm_source=gmb&utm_medium=referral,,
Hyperthyroidism,Hyderabad,https://dramitendo.com/about-us/dr-amit-goel/,,
Hyperthyroidism,Hyderabad,https://saitriyasclinic.com/best-diabetologist-in-hyderabad/,,
Hyperthyroidism,Hyderabad,https://diabetes-thyroid-endocrine-center.business.site/,,
Hypoglycemia',Hyderabad,https://apollosugar.com/,,
Hypoglycemia,Hyderabad,http://www.hyderabaddiabetes.com/about_us.html,,
